Westport,75,IE,1551290892,93,53.8,-9.52,51.01,9.17
Sandy Bay,0,AU,1551290839,81,-42.9,147.33,53.6,15.7
Cidreira,92,BR,1551291045,87,-30.17,-50.22,71.56,8.21
Lebu,0,ET,1551286800,24,8.96,38.73,68.0,6.93
Ekhabi,0,RU,1551291048,76,53.51,142.97,4.82,9.44
Pipri,32,IN,1551291049,65,24.21,83.02,64.13,3.4
Manaus,75,BR,1551290400,78,-3.13,-59.98,84.2,2.24
Pangnirtung,5,CA,1551286800,63,66.15,-65.72,-9.41,4.7
Nikolskoye,0,RU,1551290735,80,59.7,30.79,36.0,13.42
Gonbad-e Qabus,90,IR,1551290400,87,37.25,55.17,53.6,9.17
Tavares,12,BR,1551290881,76,-7.64,-37.88,81.55,1.39
Tiarei,20,PF,1551290588,70,-17.53,-149.33,84.2,2.24
Provideniya,80,RU,1551291059,96,64.42,-173.23,27.86,27.34
Seymchan,48,RU,1551291060,63,62.93,152.39,-9.49,5.97
Byron Bay,90,AU,1551290617,88,-28.65,153.62,71.6,6.93
Bucerias,5,MX,1551291006,57,20.76,-105.33,79.0,6.93
La Ronge,90,CA,1551286800,79,55.1,-105.3,19.4,8.05
Robe,0,ET,1551291065,45,7.12,40.01,53.78,5.41
Rantepao,32,ID,1551291066,100,-2.97,119.9,62.38,1.95
Georgetown,75,GY,1551290400,74,6.8,-58.16,84.2,13.87
Buala,48,SB,1551291073,91,-8.15,159.59,81.1,5.64
Praia da Vitoria,40,PT,1551290497,68,38.73,-27.07,68.0,8.21
Pangoa,92,PE,1551291076,89,-12.12,-73.0,70.25,1.05
Green River,40,US,1551290429,79,41.53,-109.47,41.0,6.93
Bathsheba,40,BB,1551290400,66,13.22,-59.52,84.2,18.34
Xuzhou,20,CN,1551291080,82,34.27,117.18,31.33,1.61
Moose Factory,1,CA,1551286800,60,51.26,-80.61,5.0,6.93
Innisfail,40,CA,1551290716,46,52.02,-113.95,16.0,12.75
San Policarpo,64,PH,1551291084,94,12.18,125.51,76.24,10.56
Varhaug,90,NO,1551291003,100,58.61,5.65,41.0,4.7
Vanavara,80,RU,1551291087,88,60.35,102.28,16.21,4.52
East London,0,ZA,1551286800,63,-33.02,27.91,66.2,11.41
La Macarena,20,CO,1551290831,27,2.18,-73.79,94.28,3.96
At-Bashi,44,KG,1551291091,60,41.17,75.81,-1.57,2.39
Lasa,40,CY,1551290468,62,34.92,32.53,59.0,21.92
Waterloo,90,CA,1551290864,85,43.47,-80.52,21.0,12.75
Sao Geraldo do Araguaia,76,BR,1551290938,77,-6.4,-48.55,83.75,6.42
Shorewood,75,US,1551291082,73,43.09,-87.89,27.0,10.29
Iqaluit,20,CA,1551290568,77,63.75,-68.52,1.4,16.11
Teavaro,20,PF,1551290588,70,-17.5,-149.77,84.2,2.24
Japura,68,ID,1551291101,97,-0.42,102.29,74.03,1.95
Morgan City,90,US,1551291095,88,29.7,-91.21,75.0,6.93
Yichun,0,CN,1551291103,75,47.72,128.88,18.77,4.97
Tuktoyaktuk,20,CA,1551286800,76,69.44,-133.03,-4.01,14.99
Nemuro,8,JP,1551291106,94,43.32,145.57,31.06,11.12
Kurilsk,0,RU,1551291107,95,45.23,147.88,25.93,11.01
Alyangula,36,AU,1551286800,94,-13.85,136.42,77.0,5.64
Pyay,0,MM,1551291113,67,18.82,95.22,71.87,4.29
Kavaratti,0,IN,1551291114,100,10.57,72.64,82.45,8.88
Faanui,100,PF,1551291116,100,-16.48,-151.75,82.9,11.45
Erenhot,0,CN,1551291117,61,43.65,111.97,11.8,3.06
Mar del Plata,0,AR,1551291118,37,-46.43,-67.52,70.88,3.74
Beyneu,32,KZ,1551291123,93,45.32,55.19,24.58,5.41
Kuji,56,JP,1551291124,70,40.18,141.75,20.89,1.05
Sistranda,75,NO,1551290959,86,63.73,8.83,42.01,31.09
Qaqortoq,75,GL,1551286200,32,60.72,-46.03,41.0,53.02
Videira,92,BR,1551291048,97,-27.01,-51.15,64.85,4.41
Chihuahua,75,MX,1551291011,19,28.66,-106.08,72.0,4.7
Antofagasta,20,CL,1551290400,64,-23.65,-70.4,73.4,13.87
Yelizavetinskoye,92,RU,1551291132,99,45.01,43.35,33.17,4.41
Mogadishu,8,SO,1551291133,99,2.04,45.34,80.2,18.95
Cotonou,20,BJ,1551286800,74,6.37,2.43,86.0,10.29
Svetlogorsk,90,RU,1551290400,73,53.14,59.15,21.2,6.71
Kasama,36,ZM,1551291140,90,-10.21,31.19,67.82,3.96
Henties Bay,0,NA,1551290530,79,-22.12,14.28,69.01,10.0
Parfino,68,RU,1551291142,86,57.97,31.65,34.66,11.68
Ordu,75,TR,1551286200,70,40.98,37.88,42.8,10.29
Port-Gentil,75,GA,1551286800,83,-0.72,8.78,82.4,8.05
Bakchar,80,RU,1551291146,81,57.02,82.07,18.95,6.98
Celestun,20,MX,1551291148,90,20.87,-90.4,80.15,6.31
Maniitsoq,0,GL,1551291109,72,65.42,-52.9,17.29,7.31
Codrington,92,AU,1551290918,82,-28.95,153.24,71.6,3.06
Gat,0,SN,1551288600,8,14.69,-16.54,89.6,12.75
Biloela,8,AU,1551291153,68,-24.4,150.51,64.13,9.55
Portel,20,PT,1551286800,52,38.31,-7.71,64.4,5.82
Aklavik,20,CA,1551286800,84,68.22,-135.01,5.0,5.82
Naze,40,NG,1551286800,88,5.43,7.07,82.4,5.82
Mokama,100,IN,1551291161,87,25.4,85.92,63.19,8.99
Goderich,92,CA,1551290908,84,43.74,-81.71,19.99,9.66
Maunabo,75,PR,1551291059,69,18.01,-65.9,82.0,13.87
Road Town,40,VG,1551290832,61,18.42,-64.62,82.4,13.87
Charyshskoye,92,RU,1551291166,90,51.4,83.56,28.99,4.97
Gerash,75,IR,1551286800,81,27.67,54.14,51.8,2.28
Tagusao,0,PH,1551291169,99,9.19,117.81,70.84,5.41
Fonte Boa,88,BR,1551291170,87,-2.51,-66.09,81.77,3.18
Bonnyville,20,CA,1551286800,67,54.27,-110.74,21.2,14.99
Cherskiy,88,RU,1551290915,75,68.75,161.3,-3.78,6.31
Altay,12,CN,1551291174,62,47.83,88.13,-0.85,3.18
Imbituba,75,BR,1551290400,88,-28.24,-48.67,71.6,8.05
Hovd,75,NO,1551291002,86,63.83,10.7,42.01,32.21
Roald,75,NO,1551291003,86,62.58,6.12,44.01,17.22
Staunton,1,US,1551291149,48,38.15,-79.07,50.0,8.05
Daru,8,SL,1551291181,16,7.99,-10.85,97.43,4.41
Yulara,0,AU,1551290400,20,-25.24,130.99,77.0,5.82
Burdur,40,TR,1551288000,55,37.72,30.29,35.6,5.82
Lixourion,75,GR,1551290428,71,38.2,20.43,51.8,2.24
Kahului,40,US,1551290764,60,20.89,-156.47,71.6,13.87
Monticello,1,US,1551291186,55,45.31,-93.79,12.0,9.17
Norman Wells,75,CA,1551286800,85,65.28,-126.83,12.2,3.36
San Rafael,0,AR,1551291191,22,-34.61,-68.33,83.53,7.99
Ararangua,100,BR,1551291010,100,-28.93,-49.49,69.31,4.41
Marfino,0,RU,1551290473,68,56.07,37.56,28.4,13.42
Isla Vista,90,US,1551291137,76,34.41,-119.86,57.99,14.99
Yabelo,0,ET,1551291199,23,4.89,38.09,78.31,9.78
Sukabumi,92,ID,1551290805,69,-6.92,106.93,86.0,3.18
Thunder Bay,40,CA,1551290923,61,48.41,-89.26,17.01,5.82
San Patricio,0,PY,1551291203,54,-26.98,-56.83,82.18,4.97
Port Elizabeth,90,US,1551291177,40,39.31,-74.98,39.99,10.29
Concepcion,8,CO,1551291206,35,9.56,-73.66,97.52,3.06
Huanta,75,PE,1551286800,59,-12.94,-74.25,64.4,8.05
Ca Mau,0,VN,1551291208,94,9.18,105.15,75.38,8.77
Peterhead,0,AU,1551291164,73,-34.83,138.5,75.99,4.7
Jalu,0,LY,1551291211,50,29.03,21.55,58.37,12.01
Nyurba,80,RU,1551291212,74,63.29,118.35,14.9,6.42
Yaan,48,NG,1551291213,56,7.38,8.57,86.63,4.18
Ostrovnoy,80,RU,1551291215,93,68.05,39.51,21.65,14.92
Phuket,20,TH,1551291130,65,7.89,98.4,84.99,3.36
Deputatskiy,44,RU,1551291217,39,69.3,139.9,-27.45,2.73
Vao,64,EE,1551291218,82,59.1,26.19,34.52,11.79
Praia,75,BR,1551286800,48,-20.25,-43.81,87.8,6.93
Kigonsera,40,TZ,1551286800,88,-10.8,35.08,71.6,3.4
Rocha,0,UY,1551291223,54,-34.48,-54.34,72.01,10.56
Yinchuan,88,CN,1551291224,75,38.48,106.21,26.33,2.62
Grindavik,75,IS,1551288600,81,63.84,-22.43,44.6,18.34
Biak,92,ID,1551291227,96,-0.91,122.88,78.62,2.39
Dauphin,90,CA,1551286800,71,51.15,-100.04,8.6,20.8
Portland,90,US,1551290958,59,45.52,-122.67,35.01,13.87
Sotouboua,56,TG,1551291231,36,8.56,0.98,88.48,7.2
Hami,8,CN,1551291232,58,42.84,93.51,19.22,5.41
Helena,90,US,1551290773,71,46.59,-112.04,5.0,3.36
Saint-Pierre,0,FR,1551291125,54,48.95,4.24,59.0,5.82
Burshtyn,90,UA,1551290400,85,49.25,24.63,39.2,8.95
Quatre Cocos,75,MU,1551290941,78,-20.21,57.76,82.4,8.05
Sibu,75,MY,1551290400,94,2.29,111.83,77.0,3.29
Camacha,20,PT,1551288600,59,33.08,-16.33,62.6,10.29
Bardstown,1,US,1551291214,42,37.81,-85.47,66.0,11.41
Puerto Baquerizo Moreno,75,EC,1551290400,94,-0.9,-89.6,78.8,9.17
Majene,36,ID,1551291245,99,-3.54,118.97,81.91,2.73
Sweetwater,1,US,1551290483,71,32.47,-100.41,64.0,18.34
Puerto Asis,40,CO,1551290400,49,0.51,-76.5,89.6,5.82
Cherdyn,68,RU,1551291252,82,60.4,56.48,9.01,4.18
Katsuura,75,JP,1551291140,75,33.93,134.5,46.4,4.7
Palana,80,RU,1551291254,78,59.08,159.95,-5.13,2.62
Aykhal,24,RU,1551291256,63,65.95,111.51,1.99,5.19
Pevek,76,RU,1551291257,82,69.7,170.27,17.2,31.25
Weymouth,76,US,1551291124,28,42.22,-70.94,25.0,10.29
Karratha,56,AU,1551291263,95,-20.74,116.85,78.31,5.41
Arawa,32,NG,1551291264,74,7.05,3.9,82.22,5.41
Adrar,0,DZ,1551286800,35,27.87,-0.29,60.8,24.16
Areka,44,ET,1551291267,40,7.07,37.71,63.86,2.62
Namibe,80,AO,1551291268,100,-15.19,12.15,78.08,5.75
Raudeberg,75,NO,1551291003,93,61.99,5.14,42.8,6.93
Luyang,90,CN,1551290400,93,31.88,117.26,42.8,2.24
Mabaruma,76,GY,1551291272,69,8.2,-59.78,83.08,9.44
Lamtah,0,TN,1551290472,62,35.67,10.88,59.0,14.99
